"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
107,"AP01MH0109","Pedda Tippa Samudram Tank","Andhra Pradesh Water Resources Department","13° 42 ' 6""","78° 12 ' 10""",NA,"Pennar","Ghataprabha","Madanapalle","II","Earthfill_Embankment",15.39,1550,0,7079000,5406000,6969000,"I",474
108,"AP01LH0110","Peddayetivanka, Annupal","Andhra Pradesh Water Resources Department","13° 28 ' 53""","79° 16 ' 42""",NA,"East flowing rivers between Pennar and Cauvery Basin","Peddayetivanka","Puttur","III","Earthfill_Embankment",12.11,235,0,370000,NA,311000,"I",82
109,"AP01LH0111","Peruru tank","Andhra Pradesh Water Resources Department","14° 20 ' 10""","77° 21 ' 15""",NA,"East flowing rivers between Pennar and Cauvery Basin","Ghataprabha","Chandragiri","III","Earthfill_Embankment",10,2520,NA,1689000,809720,1684000,"I",NA
110,"AP01MH0112","Perval Project","Andhra Pradesh Water Resources Department","16° 38 ' 9""","79° 0 ' 51""",NA,"Krishna","Ghataprabha","devarkonda","II","Earthfill_Embankment",15,NA,0,4278000,NA,3174000,"I",NA
111,"AP01LH0113","Rallakalva, Kaliyambaka","Andhra Pradesh Water Resources Department","13° 19 ' 18""","79° 44 ' 11""",NA,"East flowing rivers between Pennar and Cauvery Basin","Rallakalva","Chittoor","II","Earthfill_Embankment",10,1515,81100,664900,NA,561400,"I",73
112,"AP01MH0114","Rao Cheruvu, Rajupalem","Andhra Pradesh Water Resources Department","15° 9 ' 35""","78° 56 ' 31""",NA,"Pennar","Sagileru","Badvel","II","Earthfill_Embankment",16,460,0,5650000,1820000,5650000,"I",113.83
113,"AP01LH0115","Rayalacheruvu","Andhra Pradesh Water Resources Department","13° 30 ' 33""","79° 22 ' 37""",NA,"Pennar","Pennar","tadpatra","II","Earthfill_Embankment",10,920,260000,2391350,2323000,1840000,"I",21
114,"AP01LH0116","Sankarayalapeta Tank","Andhra Pradesh Water Resources Department","13° 13 ' 42""","78° 36 ' 28""",NA,"East flowing rivers between Pennar and Cauvery Basin","Ghataprabha","punganura","II","Earthfill_Embankment",13,2000,NA,4990800,2272500,4990800,"I",NA
115,"AP01LH0117","Seethacheru","Andhra Pradesh Water Resources Department","13° 23 ' 52""","78° 49 ' 12""",1922,"Pennar","godavari","addanki","II","Earthfill_Embankment",11,1020,0,2427000,775480,2416000,"I",104
116,"AP01LH0118","Sreerangarayani cheruvu","Andhra Pradesh Water Resources Department","14° 47 ' 9""","77° 42 ' 29""",NA,"Pennar","ghatprabha","anantpur","II","Earthfill_Embankment",11.71,2378.76,0,39240490,10712300,30185000,"I",992
117,"AP01LH0119","Swamy Tank","Andhra Pradesh Water Resources Department","14° 59 ' 37""","79° 7 ' 13""",NA,"East flowing rivers between Krishna and Pennar","pennar","S.R.Pur","II","Earthfill_Embankment",11.58,375,0,1234000,NA,1234000,"I",56.35
118,"AP01LH0120","T.Sundupalli Tank","Andhra Pradesh Water Resources Department","14° 50 ' 44""","78° 55 ' 42""",NA,"Pennar","ghatprabha","Badvel","II","Earthfill_Embankment",10,1100,0,1570000,520000,1570000,"I",685
119,"AP01MH0121","Tajangi Reservoir, Tajangi (v)","Andhra Pradesh Water Resources Department","17° 52 ' 13""","82° 29 ' 45""",NA,"Godavari","Ghataprabha","Chintapalli","II","Earthfill_Embankment",17.3,220,0,1360000,NA,1360000,"I",12500
120,"AP01LH0122","Ura Tank, S.R. Puram","Andhra Pradesh Water Resources Department","15° 0 ' 30""","79° 9 ' 0""",NA,"East flowing rivers between Krishna and Pennar","pennar","S.R.Pur","II","Earthfill_Embankment",13.86,869,0,1132000,NA,1132000,"I",283
121,"AP01LH0123","Virupana tank","Andhra Pradesh Water Resources Department","14° 15 ' 0""","77° 48 ' 0""",NA,"Pennar","ghatprabha","Sambalpur","II","Earthfill_Embankment",12,589,0,4077626,NA,3426000,"I",6.68
122,"AP01LH0124","Y.T.cheruvu","Andhra Pradesh Water Resources Department","15° 8 ' 56""","77° 32 ' 54""",NA,"Pennar","ghatprabha","gooty","II","Earthfill_Embankment",10,2078,0,12195880,5434650,9381000,"I",226
123,"AP01LH0125","Dharmavaram tank","Andhra Pradesh Water Resources Department","14° 24 ' 0""","77° 44 ' 15""",NA,"Pennar","Ghataprabha","Dharmavaram","II","Earthfill_Embankment",11,6393,0,13720000,6480000,10560000,"I",27402
124,"AP01LH0126","Sir Aurther Cotton Barrage (Godavari Barrage)","Andhra Pradesh Water Resources Department","16° 56 ' 17""","81° 46 ' 27""",1982,"Godavari","Godavari","Rajahmundry","II","Other",12.64,5837,0,82997000,19030000,60060,"I",91400
125,"AP01HH0127","Bahuda Reservoir","Andhra Pradesh Water Resources Department","13° 33 ' 46""","78° 37 ' 41""",1974,"Pennar","Bahuda","Madanapalle","II","Earthfill_Embankment",31.77,792.48,0,14060000,NA,11270000,"I",849.5
126,"AP01MH0128","Chagallu Barrage","Andhra Pradesh Water Resources Department","14° 55 ' 10""","77° 49 ' 45""",NA,"Pennar","Pennar","tadpatra","II","Other",21.43,291.5,0,50940000,NA,NA,"I",9712
127,"AP01MH0129","Cheyyeru Project (Annamayya)","Andhra Pradesh Water Resources Department","14° 12 ' 49""","79° 1 ' 12""",2001,"Pennar","cheyyeru","rajampet","II","Earthfill_Embankment",25,409,653000,63160000,7600000,44890000,"I",8069
128,"AP01HH0130","Gorakallu Balancing Reservoir","Andhra Pradesh Water Resources Department","15° 33 ' 55""","78° 24 ' 16""",NA,"Pennar","Mallama selavagu","Nandyal","II","Other",48.5,1731,0,352052000,NA,291380000,"I",848
129,"AP01HH0132","Janjavati Reservoir","Andhra Pradesh Water Resources Department","18° 51 ' 46""","83° 26 ' 4""",NA,"East Flowing Rivers between Mahanadi and Godavari","Svarnamukhi Gomula","Parvathipuram","II","Earthfill_Embankment",34,4370,2919000,96300000,9710000,78551000,"I",3398
130,"AP01HH0133","Kandaleru Balancing Reservoir","Andhra Pradesh Water Resources Department","14° 20 ' 0""","79° 37 ' 0""",1996,"East flowing rivers between Pennar and Cauvery Basin","khandaleru","rapur","III","Earthfill_Embankment",49,10752,16720000,1.926e+09,142320000,1.688e+09,"I/H",NA
131,"AP01LH0134","Kothacheru, Kotagandlapally","Andhra Pradesh Water Resources Department","14° 11 ' 2""","77° 46 ' 18""",NA,"Krishna","Lower Krishna","pargi","II","Earthfill_Embankment",10.01,873,27830,2002200,82600,1401540,"I",42
132,"AP01MH0135","Mallemadugu","Andhra Pradesh Water Resources Department","13° 40 ' 38""","79° 31 ' 27""",1959,"East flowing rivers between Pennar and Cauvery Basin","Konakalva","Chandragiri","III","Earthfill_Embankment",15,1334,0,7499000,NA,NA,"I",2458
133,"AP01LH0136","Musurmilli Reservoir","Andhra Pradesh Water Resources Department","17° 22 ' 55""","81° 46 ' 12""",NA,"Godavari","Seethapalli Vagu","rampa chodaram","II","Earthfill_Embankment",13.8,624,0,13753000,22000,13218000,NA,NA
134,"AP01HH0137","Musurmilli Reservoir","Andhra Pradesh Water Resources Department","17° 22 ' 55""","81° 46 ' 12""",NA,"Godavari","Seethapalli Vagu","rampa chodaram","II","Earthfill_Embankment",33,1040,0,45310000,NA,NA,NA,2944
135,"AP01MH0138","N.T.R. Reservoir, Thatiparthi(V), Madugula(M)","Andhra Pradesh Water Resources Department","17° 56 ' 13""","82° 46 ' 3""",NA,"East Flowing Rivers between Mahanadi and Godavari","Tacheru","Chodavaram","II","Earthfill_Embankment",24.51,1317,0,5770000,NA,5029000,"I",16386
136,"AP01MH0140","Peddagedda Reservoir","Andhra Pradesh Water Resources Department","18° 28 ' 5""","83° 6 ' 6""",2007,"East Flowing Rivers between Mahanadi and Godavari","Peddagedda","Salur","II","Earthfill_Embankment",24,2430,0,30380000,NA,28911000,"I",1395
137,"AP01HH0141","Penna Ahobilam (Dr. K.S.P.A.B.R.)","Andhra Pradesh Water Resources Department","14° 47 ' 26""","77° 17 ' 57""",1994,"Pennar","Pennar","Rayadurg","II","Other",46,2060,865000,3.14e+08,27560000,3.05e+08,"I/H",4662
138,"AP01HH0142","Pulichintala Project","Andhra Pradesh Water Resources Department","16° 46 ' 15""","80° 3 ' 26""",NA,"Krishna","Krishna","huzur nagar","III","Other",36.64,934,0,1295291000,NA,1.026e+09,"I",57700
139,"AP01LH0143","Sri Ramathirtham","Andhra Pradesh Water Resources Department","15° 37 ' 52""","79° 47 ' 54""",NA,"East flowing rivers between Krishna and Pennar","Ongole branch canal of N S P","Ongole","II","Earthfill_Embankment",12.5,NA,0,0,NA,NA,NA,NA
140,"AP01MH0144","Thotapally Barrage","Andhra Pradesh Water Resources Department","18° 47 ' 5""","83° 29 ' 41""",1908,"Godavari","Nagavali","thotapalli","II","Earthfill_Embankment",23,NA,0,71050000,NA,NA,NA,3234
141,"AP01MH0145","Urakagedda Reservoir, Sankaram (V), Madugula(M)","Andhra Pradesh Water Resources Department","17° 56 ' 22""","82° 43 ' 33""",NA,"East Flowing Rivers between Mahanadi and Godavari","Ghataprabha","paderu","II","Earthfill_Embankment",25,515,0,2160000,NA,2160000,"I",15651
142,"AP01LH0146","Vadiyalacheru","Andhra Pradesh Water Resources Department","13° 18 ' 50""","78° 54 ' 28""",NA,"East flowing rivers between Pennar and Cauvery Basin","Local stream","Chittoor","II","Earthfill_Embankment",11.21,1450,72000,992000,346000,889000,"I",380
143,"AP01LH0147","Vanaka Badigedda","Andhra Pradesh Water Resources Department","18° 53 ' 55""","83° 25 ' 8""",NA,"East Flowing Rivers between Mahanadi and Godavari","Vanaka Badigedda","Komarada","II","Earthfill_Embankment",13,630,1990,56317000,NA,NA,NA,NA
144,"AP01MH0148","Varadharajuswami Gudi","Andhra Pradesh Water Resources Department","15° 58 ' 30""","78° 38 ' 50""",NA,"Krishna","Munimadugulavagu","Kurnool","II","Other",22,588,0,11020000,1324000,10210000,"I",1025
145,"AP01HH0149","Yeleru Reservoir","Andhra Pradesh Water Resources Department","17° 18 ' 0""","82° 5 ' 30""",NA,"East Flowing Rivers between Mahanadi and Godavari","Yeleru","Kakinada","II","Other",43,2544,5080000,682700000,59360000,508300000,"I/S",8070
146,"AP01MH0150","Velugodu Balancing Reservoir","Andhra Pradesh Water Resources Department","15° 48 ' 0""","78° 34 ' 30""",NA,"Pennar","Pennar","Atmakur","II","Earthfill_Embankment",28,11640,0,16950000,46300000,16905000,"I",1231.8
147,"AP01HH0151","N.T.R. T.G.P-SPVB Reservoir","Andhra Pradesh Water Resources Department","14° 48 ' 0""","78° 53 ' 0""",NA,"Pennar","Vakkileru N","Cuddapah","II","Earthfill_Embankment",50.5,6109,116540000,17735000,27340000,NA,"I/S",NA
148,"AP01MH0152","N.T.R. T.G.P-Subsidiary Reservoir no 2","Andhra Pradesh Water Resources Department","14° 47 ' 25""","78° 47 ' 55""",NA,"Pennar","Vakkileru N","Cuddapah","II","Earthfill_Embankment",18,NA,0,69269000,5535000,NA,"I/S",NA
149,"AP01HH0153","Tenneti viswanadham Pedderu Reservoir","Andhra Pradesh Water Resources Department","17° 53 ' 30""","82° 41 ' 0""",NA,"Mahanadi","ghataprabha","Visakhapatnam","II","Other",36,900,0,13400000,NA,10140000,"I",1630
150,"AP01HH0131","Hiramandalam Reservoir","Andhra Pradesh Water Resources Department",NA,NA,NA,"Area of Inland Drainage in Rajasthan","Ghataprabha","Sambalpur",NA,"Earthfill_Embankment",NA,NA,NA,NA,NA,NA,NA,NA
151,"AP01MH0154","Alaganur Balancing Reservoir","Andhra Pradesh Water Resources Department","15° 42 ' 27""","78° 23 ' 14""",2004,"Pennar","Kanika Vagu","Nandikotkur","II","Earthfill_Embankment",22,7500,84000,13590,8.4e+10,NA,"I",442
152,"AP01MH0155","Shri Kotla Vijaya Bhaskara Reddy Barragesunkesula Barrage","Andhra Pradesh Water Resources Department","15° 52 ' 49""","77° 51 ' 28""",2004,"Krishna","Tungabhadra","Kurnool","II","Earthfill_Embankment",17.18,630,NA,33975,5537630000,27184,"I",14866
153,"AP01MH0156","Kandla Obul Reddy Gundlakamma Reservoir Project","Andhra Pradesh Water Resources Department","15° 41 ' 16""","76° 43 ' 44""",2013,"East flowing rivers between Krishna and Pennar","Gundlakama","Ongole","II","Earthfill_Embankment",23.34,327,80,109000,2.57e+10,69000,"I/S",7702
154,"AP01HH0157","Ps Velegonda Project Sunkesula Dam","Andhra Pradesh Water Resources Department","15° 52 ' 51""","77° 49 ' 43""",2014,"East flowing rivers between Krishna and Pennar","krishna","Marakapur","II","Earthfill_Embankment",58.8,400,276540,1525000,6.9525e+10,1231000,"I/S",NA
155,"AP01HH0158","Ps Velegonda Project Gotimukkala Dam","Andhra Pradesh Water Resources Department","15° 57 ' 34""","79° 8 ' 13""",2009,"East flowing rivers between Krishna and Pennar","krishna","Marakapur","II","Earthfill_Embankment",70,575,976800,1525000,6.9525e+10,1231000,"I/S",NA
156,"AP01HH0159","Ps Velegonda Project Kakarla Dam","Andhra Pradesh Water Resources Department","15° 39 ' 30""","79° 10 ' 46""",2014,"East flowing rivers between Krishna and Pennar","krishna","Marakapur","II","Earthfill_Embankment",60,470,210000,1525000,6.9525e+10,1231000,"I/S",52.29
157,"AP01HH0160","Chitravathi Balancing Reservoir","Andhra Pradesh Water Resources Department","14° 33 ' 35""","77° 57 ' 35""",2008,"Pennar","chitravathi","Ananthapur","II","Earthfill_Embankment",36.5,846,189.97,289636,3.5807e+10,288390,"I",4080
158,"AP01MH0161","Subbaraya Balancing Reservoir","Andhra Pradesh Water Resources Department","14° 48 ' 54""","77° 53 ' 19""",1983,"Pennar","Local Vagu","Ananthapur","II","Earthfill_Embankment",27.4,970,64.22,11893,1.433e+09,11893,"I",60
159,"AP01MH0162","Mutchukota Balancing Reservoir","Andhra Pradesh Water Resources Department","14° 49 ' 37""","77° 52 ' 16""",1983,"Pennar","Local Vagu","Ananthapur","II","Earthfill_Embankment",25,620,27.43,18915,2.194e+09,18915,"I",82
160,"AP01MH0163","Pendekallu Reservoir","Andhra Pradesh Water Resources Department","14° 58 ' 4""","77° 52 ' 6""",NA,"Pennar","Local Vagu","Anantapur","II","Earthfill_Embankment",15,4774.3,707,18406,6.01e+09,18406,NA,874
161,"AP01MH0164","Gotta Barrage","Andhra Pradesh Water Resources Department","18° 41 ' 21""","83° 57 ' 44""",1977,"East Flowing Rivers between Mahanadi and Godavari","vamsadhara","Hiramandalam","II","Earthfill_Embankment",20.42,475.79,NA,17329,2.77e+09,NA,"I",5947
162,"AP01HH0165","Bhupathi Palam Reservoir","Andhra Pradesh Water Resources Department","17° 26 ' 51""","81° 45 ' 56""",2011,"Godavari","Seethapalli Vagu","Rampachodavaram","II","Earthfill_Embankment",34.5,748,1126,18264366,3.588e+09,11468322,"I",2314
163,"AP01MH0166","Surempalem Reservoir Project","Andhra Pradesh Water Resources Department","17° 30 ' 22""","81° 54 ' 17""",2006,"Godavari","Burada kalva","Gokavaram","II","Earthfill_Embankment",27.6,800,313.6,7050894,2.249e+09,7050894,"I",52.29
164,"AP01MH0167","Gogarbham Dam","Andhra Pradesh Water Resources Department","13° 14 ' 29""","73° 21 ' 13""",1963,"To Be Confirmed","Local","Tirupati","II","Earthfill_Embankment",24.3,54,NA,1287.88,253710000,1219.69,"S",NA
165,"AP01MH0168","Akasaganga","Andhra Pradesh Water Resources Department","13° 46 ' 6""","79° 20 ' 21""",2002,"To Be Confirmed","Local","Tirupati","II","Earthfill_Embankment",28,170,35,311.4,34550000,304.58,"S",52.29
166,"AP01HH0169","Kumaradhara Pushpadhara Dam","Andhra Pradesh Water Resources Department","13° 43 ' 43""","79° 19 ' 30""",2011,"To Be Confirmed","Odher","Tirupati","II","Earthfill_Embankment",63.74,906.3,250,967,144630000,967,"S",12500
1,"AR16HH0001","Ranganadi Dam","Arunachal Pradesh Water Resources Department","27° 20 ' 34""","93° 49 ' 2""",2002,"Brahmaputra","Ranganadi panior river","Itanagar","V","Other",68,344.75,410467,6170000,1600000,4220000,"H",9175
2,"AR16HH0002","Bichom Dam","Arunachal Pradesh Water Resources Department","27° 18 ' 29""","90° 37 ' 22""",NA,"Brahmaputra","Bichom","Tejpur.","V","Other",69,264.15,355000,25030000,2.5e+07,5718000,"H",9216
3,"AR16MH0003","Tenga Dam","Arunachal Pradesh Water Resources Department","27° 13 ' 25""","92° 39 ' 28""",NA,"Brahmaputra","tenga","Tejpur.","V","Other",24.5,103,90000,5e+05,40500,340000,"H",3802
4,"AR16HH0004","Pare Dam","Arunachal Pradesh Water Resources Department","27° 14 ' 23""","93° 48 ' 41""",NA,"Brahmaputra","pare","Lakhimpur.","V","Other",63,134.275,185000,19425000,1.116e+09,5200000,"H",5000
1,"AS48HH0002","KHANDONG DAM ( Khangdong Power Station)","Assam Water Resources Department","25° 31 ' 42""","92° 37 ' 58""",1984,"Brahmaputra","Kopili","Shillong","V","Other",66,243,278150,166800000,13360000,129500000,"H",15417.3
2,"AS48HH0003","Station)","-","25° 31 ' 42""","92° 42 ' 45""",1988,"Brahmaputra","umrong nalla","Shillong","V","Other",30,143.27,56430,78500000,1.318e+09,55500000,"H",555
3,"AS47HH0004","Hatidubi Concrete dam","-","25° 54 ' 46""","92° 29 ' 57""",2007,"Brahmaputra","Borpani","Guwahati","V","Other",35,197,159200,NA,NA,NA,"H",9950
4,"AS30HH0005","SUBANSIRI LOWER DAM","National Hydroelectric Power Corporation","27° 33 ' 15""","94° 15 ' 30""",NA,"Brahmaputra","Subansiri","Dhemaji","V","Other",130,284,2250000,1.365e+09,33500000,4.4e+08,"H",37500
1,"BR02MH0001","KHARAGPUR LAKE","Bihar Water Resources Department","25° 8 ' 9""","86° 31 ' 30""",1876,"Ganga","Mani","Munger","IV","Earthfill_Embankment",26.53,221.04,NA,16510000,3840000,16280000,"I",850
2,"BR02MH0002","NAGI","Bihar Water Resources Department","24° 49 ' 15""","86° 23 ' 59""",1968,"Ganga","Nagi.","Munger","IV","Earthfill_Embankment",24.02,1884,NA,10800000,4250000,9300000,"I",283.28
3,"BR02MH0003","KOHIRA","Bihar Water Resources Department","24° 58 ' 51""","83° 29 ' 27""",1962,"Ganga","Kohira.","Bhabua","III","Earthfill_Embankment",24.06,236.91,NA,28330000,5260000,27440000,"I",736
4,"BR02MH0004","AMRITY","Bihar Water Resources Department","24° 53 ' 21""","86° 6 ' 8""",1965,"Ganga","Amrity.","Jamui","IV","Earthfill_Embankment",16.65,166.15,NA,4920000,166000,4348000,"I",110
5,"BR02HH0005","BADUA","Bihar Water Resources Department","24° 53 ' 16""","86° 38 ' 45""",1965,"Ganga","Badua.","Bhagalpur","IV","Earthfill_Embankment",56.66,457.32,NA,128340000,11335000,109830000,"I",2833.86
6,"BR02MH0006","SRIKHANDI","Bihar Water Resources Department","24° 53 ' 33""","86° 5 ' 24""",1965,"Ganga","Srikhandi.","Jamui","IV","Earthfill_Embankment",16.65,205.8,NA,4920000,166000,4348000,"I",110
7,"BR02MH0007","KOLMAHADEO","Bihar Water Resources Department","24° 42 ' 40""","85° 39 ' 42""",1966,"Ganga","Kolmahadeo.","Nawada","III","Earthfill_Embankment",25.2,152,NA,5700000,570000,4700000,"I",128
8,"BR02HH0008","CHANDAN","Bihar Water Resources Department","24° 40 ' 32""","86° 55 ' 21""",1968,"Ganga","Chandan.","Bounsi","III","Earthfill_Embankment",49.38,1555,NA,157230000,10810000,135740000,"I",3115
9,"BR02MH0009","JALKUND","Bihar Water Resources Department","25° 14 ' 6""","86° 32 ' 9""",1968,"Ganga","Jalkund.","Munger","IV","Earthfill_Embankment",15.99,631.1,NA,3085000,690300,2776500,"I",148.75
10,"BR02HH0010","MORWAY","Bihar Water Resources Department","25° 7 ' 57""","86° 13 ' 9""",1969,"Ganga","Morway.","Munger","IV","Earthfill_Embankment",33.42,533.53,NA,14570000,16200000,12370000,"I",709
11,"BR02MH0011","SATGHARWA (N.F)","Bihar Water Resources Department","24° 43 ' 41""","85° 0 ' 47""",1976,"Ganga","Satgharwa","Munger","IV","Earthfill_Embankment",19.21,266.72,NA,1830000,360000,1695000,"I",106
12,"BR02MH0012","JOB","Bihar Water Resources Department","24° 40 ' 48""","85° 33 ' 56""",1978,"Ganga","Job.","Nawada","III","Earthfill_Embankment",36.6,1616,NA,1.2e+07,2130000,1.1e+07,"I",425
13,"BR02HH0013","KAILASH GHATI","Bihar Water Resources Department","24° 53 ' 36""","85° 55 ' 32""",1980,"Ganga","Kailash Ghati.","Jamui","IV","Earthfill_Embankment",31.5,183,NA,3571000,1020000,3152000,"I",127.18
